name,serving_size,calories(kcal),total_fat,saturated_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars,vegan,vegetarian,gluten_free,keto
"Beef, dried, cured",100,153,1.9,1.0,79,0,31.1,2.76,0.0,2.7,No,No,Yes,Yes
"Seaweed, raw, kelp",100,43,0.6,0.2,0,0,1.68,9.57,1.3,0.6,Yes,Yes,Yes,Yes
"Seaweed, raw, agar",100,26,0.0,0.0,0,0,0.54,6.75,0.5,0.28,Yes,Yes,Yes,Yes
"Onions, raw, sweet",100,32,0.1,0.0,0,0,0.8,7.55,0.9,5.02,Yes,Yes,Yes,Yes
"Onions, raw, welsh",100,34,0.4,0.1,0,0,1.9,6.5,2.4,2.18,Yes,Yes,Yes,Yes
"Sapote, raw, mamey",100,124,0.5,0.2,0,0,1.45,32.1,5.4,20.14,Yes,Yes,Yes,No
"Bamboo shoots, raw",100,27,0.3,0.1,0,0,2.6,5.2,2.2,3.0,Yes,Yes,Yes,Yes
"Fish, raw, lingcod",100,85,1.1,0.2,52,0,17.66,0.0,0.0,0.0,No,No,Yes,Yes
"Whey, dried, sweet",100,353,1.1,0.7,6,0,12.93,74.46,0.0,74.46,Yes,Yes,Yes,No
"Yardlong bean, raw",100,47,0.4,0.1,0,0,2.8,8.35,0.0,0.0,Yes,Yes,Yes,Yes
"Cress, raw, garden",100,32,0.7,0.0,0,0,2.6,5.5,1.1,4.4,Yes,Yes,Yes,Yes
"Lambsquarters, raw",100,43,0.8,0.1,0,0,4.2,7.3,4.0,0.0,No,No,Yes,Yes
"Turnip greens, raw",100,32,0.3,0.1,0,0,1.5,7.13,3.2,0.81,Yes,Yes,Yes,Yes
"Pomegranates, raw",100,83,1.2,0.1,0,0,1.67,18.7,4.0,13.67,Yes,Yes,Yes,No
"Pears, raw, asian",100,42,0.2,0.0,0,0,0.5,10.65,3.6,7.05,Yes,Yes,Yes,No
"Chard, raw, swiss",100,19,0.2,0.0,0,0,1.8,3.74,1.6,1.1,Yes,Yes,Yes,Yes
"Goose, raw, liver",100,133,4.3,1.6,515,0,16.37,6.32,0.0,0.0,Yes,Yes,Yes,Yes
"Peppermint, fresh",100,70,0.9,0.2,0,0,3.75,14.89,8.0,0.0,Yes,Yes,Yes,No
"Oheloberries, raw",100,28,0.2,0.0,0,0,0.38,6.84,0.0,0.0,Yes,Yes,Yes,Yes
"Burdock root, raw",100,72,0.2,0.0,0,0,1.53,17.34,3.3,2.9,Yes,Yes,Yes,No
"Ostrich, raw, fan",100,117,2.7,1.0,73,0,21.81,0.0,0.0,0.0,No,No,Yes,Yes
"Strawberries, raw",100,32,0.3,0.0,0,0,0.67,7.68,2.0,4.89,Yes,Yes,Yes,Yes
"Fish, raw, burbot",100,90,0.8,0.2,60,0,19.31,0.0,0.0,0.0,No,No,Yes,Yes
"Gooseberries, raw",100,44,0.6,0.0,0,0,0.88,10.18,4.3,0.0,Yes,Yes,Yes,No
"Grape leaves, raw",100,93,2.1,0.3,0,0,5.6,17.31,11.0,6.3,Yes,Yes,Yes,No
"Kale, raw, scotch",100,42,0.6,0.1,0,0,2.8,8.32,1.7,0.0,Yes,Yes,Yes,Yes
"Whey, dried, acid",100,339,0.5,0.3,3,0,11.73,73.45,0.0,73.45,Yes,Yes,Yes,No
"Fennel, raw, bulb",100,31,0.2,0.1,0,0,1.24,7.3,3.1,3.93,Yes,Yes,Yes,Yes
"Egg, dried, whole",100,592,44.0,15.0,1630,0,48.05,1.13,0.0,0.56,No,Yes,Yes,Yes
"Egg, dried, white",100,382,0.0,0.0,0,0,81.1,7.8,0.0,5.4,No,Yes,Yes,Yes
"Veal, raw, ground",100,197,13.0,5.1,49,0,18.58,0.0,0.0,0.0,No,No,Yes,Yes
"Elderberries, raw",100,73,0.5,0.0,0,0,0.66,18.4,7.0,0.0,Yes,Yes,Yes,No
"Nuts, raw, acorns",100,387,24.0,3.1,0,0,6.15,40.75,0.0,0.0,Yes,Yes,Yes,No
"Orange juice, raw",100,45,0.2,0.0,0,0,0.7,10.4,0.2,8.4,Yes,Yes,Yes,No
"Cabbage, raw, red",100,31,0.2,0.0,0,0,1.43,7.37,2.1,3.83,Yes,Yes,Yes,Yes
"Blackberries, raw",100,43,0.5,0.0,0,0,1.39,9.61,5.3,4.88,Yes,Yes,Yes,Yes
"Wasabi, raw, root",100,109,0.6,0.0,0,0,4.8,23.54,7.8,0.0,Yes,Yes,Yes,No
"Raspberries, raw",100,52,0.7,0.0,0,0,1.2,11.94,6.5,4.42,Yes,Yes,Yes,No
"Taro shoots, raw",100,11,0.1,0.0,0,0,0.92,2.32,0.0,0.0,Yes,Yes,Yes,Yes
"Emu, raw, ground",100,134,4.0,1.0,69,0,22.77,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Fish, raw, cisco",100,98,1.9,0.4,50,0,18.99,0.0,0.0,0.0,No,No,Yes,Yes
"Dill weed, fresh",100,43,1.1,0.1,0,0,3.46,7.02,2.1,0.0,Yes,Yes,Yes,Yes
"Spearmint, dried",100,285,6.0,1.6,0,0,19.93,52.04,29.8,0.0,Yes,Yes,Yes,No
"Spearmint, fresh",100,44,0.7,0.2,0,0,3.29,8.41,6.8,0.0,Yes,Yes,Yes,Yes
"Lemon juice, raw",100,22,0.2,0.0,0,0,0.35,6.9,0.3,2.52,Yes,Yes,Yes,Yes
"Ginger root, raw",100,80,0.8,0.2,0,0,1.82,17.77,2.0,1.7,Yes,Yes,Yes,No
"Orange peel, raw",100,97,0.2,0.0,0,0,1.5,25.0,10.6,0.0,Yes,Yes,Yes,No
"Blueberries, raw",100,57,0.3,0.0,0,0,0.74,14.49,2.4,9.96,Yes,Yes,Yes,No
"Beet greens, raw",100,22,0.1,0.0,0,0,2.2,4.33,3.7,0.5,Yes,Yes,Yes,Yes
"Clementines, raw",100,47,0.2,0.0,0,0,0.85,12.02,1.7,9.18,Yes,Yes,Yes,No
"Peas, raw, green",100,81,0.4,0.1,0,0,5.42,14.45,5.7,5.67,Yes,Yes,Yes,No
"Pears, bosc, raw",100,67,0.1,0.0,0,0,0.36,16.1,3.1,10.23,Yes,Yes,Yes,No
"Cranberries, raw",100,46,0.1,0.0,0,0,0.46,11.97,3.6,4.27,Yes,Yes,Yes,No
"Egg, dried, yolk",100,669,59.0,20.0,2307,0,33.63,0.66,0.0,0.23,No,Yes,Yes,Yes
"Emu, raw, oyster",100,141,4.9,1.2,81,0,22.81,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Rose-apples, raw",100,25,0.3,0.0,0,0,0.6,5.7,0.0,0.0,Yes,Yes,Yes,Yes
"Fish, raw, scup",100,105,2.7,0.6,52,0,18.88,0.0,0.0,0.0,No,No,Yes,Yes
"Cheese, caraway",100,376,29.0,19.0,93,0,25.18,3.06,0.0,0.0,No,Yes,Yes,Yes
"Watermelon, raw",100,30,0.2,0.0,0,0,0.61,7.55,0.4,6.2,Yes,Yes,Yes,Yes
"Rosemary, fresh",100,131,5.9,2.8,0,0,3.31,20.7,14.1,0.0,Yes,Yes,Yes,No
"Lemon peel, raw",100,47,0.3,0.0,0,0,1.5,16.0,10.6,4.17,Yes,Yes,Yes,No
"Nectarines, raw",100,44,0.3,0.0,0,0,1.06,10.55,1.7,7.89,Yes,Yes,Yes,No
"Mulberries, raw",100,43,0.4,0.0,0,0,1.44,9.8,1.7,8.1,Yes,Yes,Yes,Yes
"Lotus root, raw",100,74,0.1,0.0,0,0,2.6,17.23,4.9,0.0,Yes,Yes,Yes,No
"Fish, raw, spot",100,123,4.9,1.5,60,0,18.51,0.0,0.0,0.0,No,No,Yes,Yes
"Crabapples, raw",100,76,0.3,0.0,0,0,0.4,19.95,0.0,0.0,Yes,Yes,Yes,No
"Breadfruit, raw",100,103,0.2,0.0,0,0,1.07,27.12,4.9,11.0,Yes,Yes,No,No
"Tomatillos, raw",100,32,1.0,0.1,0,0,0.96,5.84,1.9,3.93,Yes,Yes,Yes,Yes
"Fish, raw, carp",100,127,5.6,1.1,66,0,17.83,0.0,0.0,0.0,No,No,Yes,Yes
"Fish, raw, cusk",100,87,0.7,0.1,41,0,18.99,0.0,0.0,0.0,No,No,Yes,Yes
"Watercress, raw",100,11,0.1,0.0,0,0,2.3,1.29,0.5,0.2,Yes,Yes,Yes,Yes
"Fish, raw, ling",100,87,0.6,0.1,40,0,18.99,0.0,0.0,0.0,No,No,Yes,Yes
"Lime juice, raw",100,25,0.1,0.0,0,0,0.42,8.42,0.4,1.69,Yes,Yes,Yes,Yes
"Arrowroot, raw",100,65,0.2,0.0,0,0,4.24,13.39,1.3,0.0,Yes,Yes,Yes,No
"Tamarinds, raw",100,239,0.6,0.3,0,0,2.8,62.5,5.1,38.8,Yes,Yes,Yes,No
"Longans, dried",100,286,0.4,0.0,0,0,4.9,74.0,0.0,0.0,Yes,Yes,Yes,No
"Plantains, raw",100,122,0.4,0.1,0,0,1.3,31.89,2.3,15.0,Yes,Yes,Yes,No
"Parsley, fresh",100,36,0.8,0.1,0,0,2.97,6.33,3.3,0.85,Yes,Yes,Yes,Yes
"Radicchio, raw",100,23,0.3,0.1,0,0,1.43,4.48,0.9,0.6,Yes,Yes,Yes,Yes
"Sapodilla, raw",100,83,1.1,0.2,0,0,0.44,19.96,5.3,0.0,Yes,Yes,Yes,No
"Wild rice, raw",100,357,1.1,0.2,0,0,14.73,74.9,6.2,2.5,Yes,Yes,Yes,No
"Arrowhead, raw",100,99,0.3,0.0,0,0,5.33,20.23,0.0,0.0,Yes,Yes,Yes,No
"Frog legs, raw",100,73,0.3,0.1,50,0,16.4,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Jackfruit, raw",100,95,0.6,0.2,0,0,1.72,23.25,1.5,19.08,Yes,Yes,Yes,No
"Litchis, dried",100,277,1.2,0.3,0,0,3.8,70.7,4.6,66.1,Yes,Yes,Yes,No
"Rutabagas, raw",100,37,0.2,0.0,0,0,1.08,8.62,2.3,4.46,Yes,Yes,Yes,Yes
"Cornsalad, raw",100,21,0.4,0.0,0,0,2.0,3.6,0.0,0.0,Yes,Yes,Yes,No
"Cherimoya, raw",100,75,0.7,0.2,0,0,1.57,17.71,3.0,12.87,Yes,Yes,Yes,No
"Asparagus, raw",100,20,0.1,0.0,0,0,2.2,3.88,2.1,1.88,Yes,Yes,Yes,Yes
"Apricots, raw",100,48,0.4,0.0,0,0,1.4,11.12,2.0,9.24,Yes,Yes,Yes,No
"Broccoli, raw",100,34,0.4,0.0,0,0,2.82,6.64,2.6,1.7,Yes,Yes,Yes,Yes
"Shallots, raw",100,72,0.1,0.0,0,0,2.5,16.8,3.2,7.87,Yes,Yes,Yes,No
"Pepeao, dried",100,298,0.4,0.0,0,0,4.82,81.03,0.0,0.0,Yes,Yes,Yes,No
"Purslane, raw",100,20,0.4,0.0,0,0,2.03,3.39,0.0,0.0,Yes,Yes,Yes,Yes
"Radishes, raw",100,16,0.1,0.0,0,0,0.68,3.4,1.6,1.86,Yes,Yes,Yes,Yes
"Parsnips, raw",100,75,0.3,0.1,0,0,1.2,17.99,4.9,4.8,Yes,Yes,Yes,No
"Collards, raw",100,32,0.6,0.1,0,0,3.02,5.42,4.0,0.46,Yes,Yes,Yes,Yes
"Celeriac, raw",100,42,0.3,0.1,0,0,1.5,9.2,1.8,1.6,Yes,Yes,Yes,Yes
"Kumquats, raw",100,71,0.9,0.1,0,0,1.88,15.9,6.5,9.36,Yes,Yes,Yes,No
"Oat bran, raw",100,246,7.0,1.3,0,0,17.3,66.22,15.4,1.45,Yes,Yes,Yes,No
"Kohlrabi, raw",100,27,0.1,0.0,0,0,1.7,6.2,3.6,2.6,Yes,Yes,Yes,Yes
"Celtuce, raw",100,18,0.3,0.0,0,0,0.85,3.65,1.7,0.0,Yes,Yes,Yes,Yes
"Thyme, fresh",100,101,1.7,0.5,0,0,5.56,24.45,14.0,0.0,Yes,Yes,Yes,No
"Basil, fresh",100,23,0.6,0.0,0,0,3.15,2.65,1.6,0.3,Yes,Yes,Yes,Yes
"Rhubarb, raw",100,21,0.2,0.1,0,0,0.9,4.54,1.8,1.1,Yes,Yes,Yes,Yes
"Nopales, raw",100,16,0.1,0.0,0,0,1.32,3.33,2.2,1.15,Yes,Yes,Yes,Yes
"Longans, raw",100,60,0.1,0.0,0,0,1.31,15.14,1.1,0.0,Yes,Yes,Yes,No
"Loquats, raw",100,47,0.2,0.0,0,0,0.43,12.14,1.7,0.0,Yes,Yes,Yes,No
"Epazote, raw",100,32,0.5,0.0,0,0,0.33,7.44,3.8,0.0,Yes,Yes,Yes,Yes
"Pumpkin, raw",100,26,0.1,0.1,0,0,1.0,6.5,0.5,2.76,Yes,Yes,Yes,Yes
"Carrots, raw",100,41,0.2,0.0,0,0,0.93,9.58,2.8,4.74,Yes,Yes,Yes,Yes
"Cabbage, raw",100,25,0.1,0.0,0,0,1.28,5.8,2.5,3.2,Yes,Yes,Yes,Yes
"Cardoon, raw",100,17,0.1,0.0,0,0,0.7,4.07,1.6,0.0,Yes,Yes,Yes,Yes
"Abiyuch, raw",100,69,0.1,0.0,0,0,1.5,17.6,5.3,8.55,Yes,Yes,Yes,No
"Pummelo, raw",100,38,0.0,0.0,0,0,0.76,9.62,1.0,0.0,Yes,Yes,Yes,Yes
"Quinces, raw",100,57,0.1,0.0,0,0,0.4,15.3,1.9,0.0,Yes,Yes,Yes,No
"Roselle, raw",100,49,0.6,0.0,0,0,0.96,11.31,0.0,0.0,Yes,Yes,Yes,No
"Soursop, raw",100,66,0.3,0.1,0,0,1.0,16.84,3.3,13.54,Yes,Yes,Yes,No
"Arugula, raw",100,25,0.7,0.1,0,0,2.58,3.65,1.6,2.05,Yes,Yes,Yes,Yes
"Litchis, raw",100,66,0.4,0.1,0,0,0.83,16.53,1.3,15.23,Yes,Yes,Yes,No
"Spinach, raw",100,23,0.4,0.1,0,0,2.86,3.63,2.2,0.42,Yes,Yes,Yes,Yes
"Lentils, raw",100,352,1.1,0.2,0,0,24.63,63.35,10.7,2.03,Yes,Yes,Yes,No
"Cassava, raw",100,160,0.3,0.1,0,0,1.36,38.06,1.8,1.7,Yes,Yes,Yes,No
"Turnips, raw",100,28,0.1,0.0,0,0,0.9,6.43,1.8,3.8,Yes,Yes,Yes,Yes
"Bananas, raw",100,89,0.3,0.1,0,0,1.09,22.84,2.6,12.23,Yes,Yes,Yes,No
"Papayas, raw",100,43,0.3,0.1,0,0,0.47,10.82,1.7,7.82,Yes,Yes,Yes,No
